dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
ctu13-12,0.2,0.807,0.015,0.861,0.025,0.736,0.033,0.852,0.027
ctu13-13,0.2,0.562,0.005,0.558,0.006,0.621,0.023,0.503,0.023
ctu13-1,0.2,0.836,0.003,0.799,0.007,0.898,0.011,0.775,0.008
ctu13-2,0.2,0.664,0.005,0.629,0.007,0.798,0.03,0.522,0.023
ctu13-3,0.2,0.874,0.007,0.824,0.015,0.951,0.016,0.785,0.01
ctu13-5,0.2,0.697,0.021,0.641,0.026,0.88,0.04,0.525,0.028
ctu13-8,0.2,0.593,0.027,0.595,0.043,0.59,0.051,0.583,0.028
ctu13-9,0.2,0.757,0.001,0.684,0.001,0.957,0.001,0.557,0.0
ctu13,0.2,0.862,0.001,0.835,0.003,0.901,0.003,0.824,0.003
