dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
ctu13-12,0.2,0.983,0.004,0.984,0.007,0.983,0.006,0.975,0.004
ctu13-13,0.2,0.916,0.002,0.856,0.003,0.999,0.001,0.832,0.001
ctu13-1,0.2,0.968,0.002,0.96,0.004,0.978,0.003,0.958,0.003
ctu13-2,0.2,0.966,0.002,0.938,0.005,0.998,0.002,0.932,0.001
ctu13-3,0.2,0.952,0.006,0.914,0.01,0.999,0.003,0.907,0.003
ctu13-5,0.2,0.979,0.005,0.96,0.01,0.999,0.002,0.969,0.001
ctu13-8,0.2,0.964,0.007,0.94,0.013,0.991,0.009,0.925,0.006
ctu13-9,0.2,0.968,0.001,0.942,0.001,0.998,0.001,0.937,0.0
ctu13,0.2,0.922,0.001,0.911,0.001,0.934,0.003,0.909,0.002
