dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
ctu13-12,0.2,0.801,0.017,0.814,0.02,0.777,0.037,0.832,0.015
ctu13-13,0.2,0.858,0.003,0.985,0.004,0.728,0.005,0.99,0.003
ctu13-1,0.2,0.8,0.003,0.864,0.006,0.711,0.007,0.893,0.003
ctu13-2,0.2,0.906,0.004,0.945,0.01,0.861,0.012,0.952,0.007
ctu13-3,0.2,0.987,0.004,0.986,0.004,0.989,0.006,0.989,0.003
ctu13-5,0.2,0.921,0.016,0.943,0.022,0.895,0.021,0.946,0.008
ctu13-8,0.2,0.96,0.005,0.981,0.007,0.939,0.011,0.981,0.004
ctu13-9,0.2,0.73,0.002,0.659,0.002,0.958,0.003,0.5,0.004
ctu13,0.2,0.706,0.002,0.638,0.002,0.956,0.004,0.457,0.004
