dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
iscxids2012,0.2,0.652,0.003,0.892,0.014,0.346,0.009,0.957,0.006
iscxids2012-1,0.2,0.788,0.014,0.747,0.017,0.872,0.035,0.708,0.025
iscxids2012-2,0.2,0.927,0.008,0.873,0.012,0.999,0.001,0.866,0.001
iscxids2012-3,0.2,0.984,0.003,0.991,0.003,0.976,0.005,0.991,0.002
iscxids2012-5,0.2,0.976,0.003,0.961,0.009,0.993,0.007,0.954,0.004
iscxids2012-9,0.2,0.59,0.003,0.557,0.004,0.89,0.049,0.283,0.047
