dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
ctu13-12,0.2,0.991,0.002,0.998,0.004,0.984,0.003,0.998,0.003
ctu13-13,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ctu13-1,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ctu13-2,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ctu13-3,0.2,1.0,0.0,0.999,0.001,1.0,0.0,1.0,0.0
ctu13-5,0.2,1.0,0.0,1.0,0.0,1.0,0.0,0.997,0.0
ctu13-8,0.2,1.0,0.001,1.0,0.001,1.0,0.0,1.0,0.0
ctu13-9,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ctu13,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
