dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
ctu13-12,0.2,0.501,0.013,0.456,0.163,0.217,0.077,0.796,0.072
ctu13-13,0.2,0.805,0.003,0.83,0.005,0.768,0.005,0.84,0.0
ctu13-1,0.2,0.548,0.004,0.527,0.005,0.931,0.002,0.167,0.0
ctu13-2,0.2,0.871,0.006,0.854,0.008,0.898,0.006,0.843,0.0
ctu13-3,0.2,0.869,0.009,0.794,0.011,0.998,0.002,0.741,0.0
ctu13-5,0.2,0.843,0.021,0.787,0.035,0.94,0.019,0.761,0.0
ctu13-8,0.2,0.799,0.014,0.817,0.023,0.782,0.014,0.824,0.0
ctu13-9,0.2,0.513,0.002,0.533,0.004,0.212,0.002,0.815,0.0
ctu13,0.2,0.559,0.001,0.611,0.003,0.321,0.002,0.796,0.0
