dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
ctu13-12,0.2,0.754,0.017,0.724,0.022,0.833,0.019,0.689,0.003
ctu13-13,0.2,0.836,0.002,0.957,0.003,0.703,0.005,0.966,0.002
ctu13-1,0.2,0.789,0.004,0.719,0.005,0.951,0.003,0.626,0.002
ctu13-2,0.2,0.88,0.007,0.869,0.008,0.894,0.009,0.864,0.0
ctu13-3,0.2,0.989,0.004,0.984,0.006,0.994,0.003,0.985,0.0
ctu13-5,0.2,0.867,0.021,0.934,0.057,0.801,0.087,0.921,0.074
ctu13-8,0.2,0.956,0.01,0.988,0.007,0.92,0.02,0.988,0.001
ctu13-9,0.2,0.71,0.002,0.65,0.003,0.911,0.001,0.508,0.001
ctu13,0.2,0.694,0.001,0.638,0.002,0.893,0.003,0.49,0.002
