dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
iscxids2012,0.2,0.851,0.001,0.782,0.002,0.972,0.002,0.732,0.0
iscxids2012-1,0.2,0.866,0.011,0.801,0.015,0.974,0.013,0.764,0.01
iscxids2012-2,0.2,0.999,0.001,0.999,0.001,1.0,0.001,1.0,0.0
iscxids2012-3,0.2,0.933,0.002,0.894,0.003,0.983,0.002,0.883,0.0
iscxids2012-5,0.2,0.999,0.001,0.998,0.001,1.0,0.0,0.999,0.0
iscxids2012-9,0.2,0.881,0.002,0.81,0.004,0.994,0.001,0.766,0.0
